actors,director,movie_name
Frank S. Aronson,Lasse Hallström,Hachi: A Dog's Tale
Troy Doherty,Lasse Hallström,Hachi: A Dog's Tale
Ian Sherman,Lasse Hallström,Hachi: A Dog's Tale
Timothy Crowe,Lasse Hallström,Hachi: A Dog's Tale
Denece Ryland,Lasse Hallström,Hachi: A Dog's Tale
Blake Friedman,Lasse Hallström,Hachi: A Dog's Tale
Blake Friedman,Lasse Hallström,Hachi: A Dog's Tale
Çetin Tekindor,Çagan Irmak,My Father and My Son
Fikret Kuskan,Çagan Irmak,My Father and My Son
Hümeyra,Çagan Irmak,My Father and My Son
Ege Tanman,Çagan Irmak,My Father and My Son
Serif Sezer,Çagan Irmak,My Father and My Son
Yetkin Dikinciler,Çagan Irmak,My Father and My Son
Binnur Kaya,Çagan Irmak,My Father and My Son
Mahmut Gökgöz,Çagan Irmak,My Father and My Son
Nergis Çorakçi,Çagan Irmak,My Father and My Son
Bilge Sen,Çagan Irmak,My Father and My Son
Tuba Büyüküstün,Çagan Irmak,My Father and My Son
Özge Özberk,Çagan Irmak,My Father and My Son
Erdal Tosun,Çagan Irmak,My Father and My Son
Halit Ergenç,Çagan Irmak,My Father and My Son
Tugyan Akay Kavukçu,Çagan Irmak,My Father and My Son
Ege Kaya,Çagan Irmak,My Father and My Son
Muzaffer Demirel,Çagan Irmak,My Father and My Son
Burak Akçakaya,Çagan Irmak,My Father and My Son
Burak Akçakaya,Çagan Irmak,My Father and My Son
Henry Fonda,John Ford,The Grapes of Wrath
Jane Darwell,John Ford,The Grapes of Wrath
John Carradine,John Ford,The Grapes of Wrath
Charley Grapewin,John Ford,The Grapes of Wrath
Dorris Bowdon,John Ford,The Grapes of Wrath
Russell Simpson,John Ford,The Grapes of Wrath
O.Z. Whitehead,John Ford,The Grapes of Wrath
John Qualen,John Ford,The Grapes of Wrath
Eddie Quillan,John Ford,The Grapes of Wrath
Zeffie Tilbury,John Ford,The Grapes of Wrath
Frank Sully,John Ford,The Grapes of Wrath
Frank Darien,John Ford,The Grapes of Wrath
Darryl Hickman,John Ford,The Grapes of Wrath
Shirley Mills,John Ford,The Grapes of Wrath
Roger Imhof,John Ford,The Grapes of Wrath
Grant Mitchell,John Ford,The Grapes of Wrath
Charles D. Brown,John Ford,The Grapes of Wrath
John Arledge,John Ford,The Grapes of Wrath
John Arledge,John Ford,The Grapes of Wrath
Suriya,T.J. Gnanavel,Jai Bhim
Lijo Mol Jose,T.J. Gnanavel,Jai Bhim
Manikandan K.,T.J. Gnanavel,Jai Bhim
Rajisha Vijayan,T.J. Gnanavel,Jai Bhim
Prakash Raj,T.J. Gnanavel,Jai Bhim
Rao Ramesh,T.J. Gnanavel,Jai Bhim
Guru Somasundaram,T.J. Gnanavel,Jai Bhim
M.S. Bhaskar,T.J. Gnanavel,Jai Bhim
V. Jayaprakash,T.J. Gnanavel,Jai Bhim
Sibi Thomas,T.J. Gnanavel,Jai Bhim
Ilavarasu,T.J. Gnanavel,Jai Bhim
Jayarao,T.J. Gnanavel,Jai Bhim
Sujatha Sivakumar,T.J. Gnanavel,Jai Bhim
Ravi Venkatraman,T.J. Gnanavel,Jai Bhim
Tamizh,T.J. Gnanavel,Jai Bhim
Kumaravel,T.J. Gnanavel,Jai Bhim
Supergood Subramani,T.J. Gnanavel,Jai Bhim
Bala Hasan,T.J. Gnanavel,Jai Bhim
Bala Hasan,T.J. Gnanavel,Jai Bhim
Emilio Echevarría,Alejandro G. Iñárritu,Amores Perros
